ZVA_NUMBER,DRIVER_NO,TRUCK_NO,PLANT_NAME,ZPO_NUMBER,PO_LINE_ITEM,WheatVariety,ReceivingBin,BulkSiloNo,Moisture,HLWeight,FM,Dust,BadSmell,Infestation,SeiveSize,Wetgluten,Drygluten,Protein,FirstWeight,SecondWeight,NetWeight
RMIASSIL2100000097,8963257410,TN01230, NLFD  -  SILO ,PO1, PO1  -1 , WHEAT  VARIETY ,BIN1,1,,,,,,,,,,,100,200,100
RMIASSIL2100000098,7845123690,TN789789, NLFD  -  SILO ,PO1, PO1  -1 , WHEAT  VARIETY ,BIN1,3,,,,,,,,,,,100,250,150
RMIASSIL2100000099,8547963210,TN78978911, NLFD  -  SILO ,PO1, PO1  -1 , WHEAT  VARIETY ,BIN1,3,,,,,,,,,,,100,500,400
RMIASSIL2100000101,8956231470,TN784569, NLFD  -  SILO ,PO1, PO1  -1 , WHEAT  VARIETY ,BIN2,2,,,,,,,,,,,1000,1500,500
RMIASSIL2100000112,7867786700,TN57BL0497, NLFD  -  SILO ,PO1, PO1  -1 , WHEAT  VARIETY ,BIN2,1,,,,,,,,,,,0,250,250
RMIASSIL2100000118,5471236980,TR12123, NLFD  -  SILO ,PO1, PO1  -2 , WHEAT  VARIETY ,BIN1,2,,,,,,,,,,,1000,5000,4000
RMIASSIL2100000119,7708111324,TN57BD6555, NLFD  -  SILO ,PO1, PO1  -1 , WHEAT  VARIETY ,BIN1,1,,,,,,,,,,,10000,15000,5000
RMIASSIL2100000120,8547963210,TR4567, NLFD  -  SILO ,PO1, PO1  -1 ,123,BIN1,1,,,,,,,,,,,100,5000,4900
RMIASSIL2100000123,8547123690,TR234, NLFD  -  SILO ,PO1, PO1  -1 ,123,BIN1,3,10,0,,0,0,No,2,36,12,12,100,20000,19900
RMIASSIL2100000123,8547123690,TR234, NLFD  -  SILO ,PO1, PO1  -1 ,123,BIN2,2,10,0,,0,0,No,2,36,12,12,100,20000,19900
RMIASSIL2100000126,8569741230,TR234234, NLFD  -  SILO ,PO1, PO1  -1 ,123,BIN1,1,,,,,,,,,,,100,5000,4900
RMIASSIL2100000128,7708111326,TN69NL3443, NLFD  -  SILO ,17000035,10,TEST,BIN2,2,,,,,,,,,,,10000,18000,8000
RMIASSIL2100000129,7708111326,TN57BL499, NLFD  -  SILO ,17000035,10,TEST,BIN1,2,11,78,,0,No,No,2,24,8,10,10000,15000,5000
RMIASSIL2100000130,7867786700,TN76NL8998, NLFD  -  SILO ,17000035,10,TEST,BIN2,1,,,,,,,,,,,1000,15000,14000
RMIASSIL2100000131,7867786700,TN57BG13331, NLFD  -  SILO ,17000035,10,TEST,BIN1,2,,,,,,,,,,,10000,20000,10000
RMIASSIL2100000134,7708111326,TN58BL6776, NLFD  -  SILO ,17000035,10,TEST,BIN1,1,,,,,,,,,,,10000,15000,5000
RMIASSIL2100000135,7867786700,TN57BD7676, NLFD  -  SILO ,17000035,10,TEST,BIN1,2,10,0,,0,yes,No,2,36,12,12,10000,20000,10000
RMIASSIL2100000135,7867786700,TN57BD7676, NLFD  -  SILO ,17000035,10,TEST,BIN1,2,10,0,,0,yes,No,2,36,12,12,10000,20000,10000
RMIASSIL2100000136,8569321470,TR34345345, NLFD  -  SILO ,PO1, PO1  -1 ,123,BIN1,1,,,,,,,,,,,567567567,567567567,0
RMIASSIL2100000138,7708111325,TN67BG8766, NLFD  -  SILO ,17000035,10,TEST,BIN1,1,10,0,,0,YES,No,2,36,12,12,10000,15000,5000
RMIASSIL2100000140,8569321470,TR1452360, NLFD  -  SILO ,17000035,10,TEST,BIN1,1,10,20,,,,No,,26,10,12,100,5000,4900
RMIASSIL2100000141,8569741230,TR45123, NLFD  -  SILO ,17000035,10,TEST,BIN1,1,10,20,,,,No,,26,10,12,100,5000,4900
