QI_REFID,purchase_info_id,protein_quality,moisture_quality,ash_quality,wet_gluten_quality,dry_gluten_quality,sv_quality,hl_quality,kernel_quality,mm_quality,foreign_matter_quality,mudballs_quality,broken_wheat_quality,black_wheat_quality,soft_wheat_quality,shriveled_wheat_quality,immature_wheat_quality,insect_damage_wheat_quality,mixed_wheat_quality,kernel_bunt_quality,ofg_quality,infestation_quality,fungus_quality,rain_damage_quality,protein_type_quality,fn_quality,others_comment,overall_result,degrade,deduction_amount,wheat_variety,qc_work_doc,fungus_quality_noofbag,fungus_quality_quarantine,recommended_lot,rain_damage_quality_noofbag,rain_damage_quality_quarantine,red_grain_quality,PI_REFID,ZVA_NUMBER,ZPO_NUMBER,ZVENDOR_CODE,ZVENDOR_NAME,ZSUPPLIER_CODE,ZSUPPLIER_NAME,ZQTY,MEINS,IDNLF,MATNR,SGT_SCAT,NETPR,WERKS,LGORT,TRUCK_NO,DRIVER_NO,VECHICAL_STATUS,WAIT_IN_TM,GAT_IN_TM,INCO1,DEVICE_TYPE,PO_BAG_TYPE,SCREEN_TYPE,VEHICLE_TYPE,QA_STATUS,ZDATE,ZTIME,PO_LINE_ITEM,MIGO_NUM,GO_REFID,GO_purchase_info_id,GO_bag_type,GO_no_bags,GO_wb_empty_wt,GO_wb_net_wt,GO_gunny_wt,GO_gunny_less_wt,GO_supplier_wb_dt,GO_supplier_wb_qty,GO_invoice_rate,GO_invoice_no,GO_invoice_date,GO_invoice_qty,GO_supp_inv_copy,GO_supp_wb_copy,GO_naga_os_wb_copy,GO_wb_name,GO_wb_serial_no,GO_wb_load_wt,GO_is_own_wb,GO_wb_ticket_no,GO_unload_lot,pp_REF_ID,pp_ZVA_NUMBER,pp_ZPO_NUMBER,pp_ZPO_LINE_ITEM,pp_ZDATE,pp_ZTIME,pp_ZVENDOR_CODE,pp_ZVENDOR_NAME,pp_ZSUPPLIER_CODE,pp_ZSUPPLIER_NAME,pp_ZQTY,pp_MEINS,pp_IDNLF,pp_MATNR,pp_SGT_SCAT,pp_NETPR,pp_WERKS,pp_LGORT,pp_ZTRUCK_CONTAINER_NUMBER,pp_ZVENDOR_INVOICE,pp_ZDEDUCTION_AMOUNT,pp_isupdate,GO_bag_type(2),GO_no_bags(2),GO_bag_type(3),GO_no_bags(3),CONTAINER_NO,protein_quality(2),moisture_quality(2),ash_quality(2),wet_gluten_quality(2),dry_gluten_quality(2),sv_quality(2),hl_quality(2),kernel_quality(2),mm_quality(2),foreign_matter_quality(2),mudballs_quality(2),broken_wheat_quality(2),black_wheat_quality(2),soft_wheat_quality(2),shriveled_wheat_quality(2),immature_wheat_quality(2),insect_damage_wheat_quality(2),mixed_wheat_quality(2),kernel_bunt_quality(2),ofg_quality(2),infestation_quality(2),fungus_quality(2),rain_damage_quality(2),protein_type_quality(2),fn_quality
2075,4658,6,6,6,6,,,6,6,6,6,6,6,6,6,6,6,6,NO,6,6,NO,NO,NO,LP,,FHFGHFGH,A,1,,AHW,/Digigate/Purchasepro/2021/October/11/SDI/Quality_Check/RMSDTW012100000359_Testing_sample_WB_copy-20211011165016.pdf,,,567,,,6,4658,RMSDTW012100000359,2800000417,225819, RANKA  AGRI  LINKS ,225531, M/S  MANOJ  TRADERS ,3992,TON,MADHYAPRADESH-VIDISHA-1544,WHR-S,RMPBHVISL03,25500.00,8102,AR02,TN52L0750,8563214790,7,, 2021-10-11  16:48:55 ,SDG,NIR_YES,N1,SDI,Truck,A,2021-10-11,16:56:25,10,,2847,4658,N2,13,523,4000,7.54,3992.46,2021-07-15,25020,25.50,123,2021-07-15,25020,upload/2021/July/19/supdis/2800000417_WhatsApp_Image_20210719_at_06.29.53-20210719105038.jpeg,upload/2021/July/19/supdis/2800000417_WhatsApp_Image_20210719_at_06.29.53-20210719105038.jpeg,/Digigate/Purchasepro/2021/October/11/SDI/Unloading/RMSDTW012100000359_SAMPLE_PDF-20211011165625.pdf,TEST,452136,4523,2,,123,2528,RMSDTW012100000359,2800000417,10,2021-10-11,16:56:25,225819, RANKA  AGRI  LINKS ,225531, M/S  MANOJ  TRADERS ,3.992,TON,MADHYAPRADESH-VIDISHA-1544,WHR-S,RMPBHVISL03,25500.00,8102,AR02,TN52L0750,123,,0,,0,,0,,6,6,6,6,,,6,6,6,6,6,6,6,6,6,6,6,NO,6,6,NO,NO,NO,LP,
2105,4691,10,9,12,38,12,32,82,45,2,0,01,1,1,1,1,0,1,NO,1,1,NO,NO,NO,LP,NO,,A,2,,,/Digigate/Purchasepro/2021/October/19/SDI/Quality_Check/RMSDTW012100000367_Purchase_Pro3.-20211019193120.pdf,,,L1,,,0,4691,RMSDTW012100000367,2800000464,210512, SHREE  CANVASSERS  (  WH  BROKER  ) ,219962, SHRI  SHARANABASAVESHWAR  TRADE- ,9976,TON,KARNATAKA-DHARWAR-LOK1,WHR-E,RKADWDWSE02,22400.00,1120,AR02, TN78    BD77 ,7708111326,7,, 2021-10-19  19:29:22 ,SDG,NIR_FOSS,N1,SDI,Truck,A,2021-10-19,19:47:21,10,,2855,4691,N2,12,10000,10000,24.06,9975.94,2021-10-02,10000,19.2,123,2021-10-02,10000,upload/2021/October/03/supdis/2800000464_Purchase_Pro-20211003223939.pdf,upload/2021/October/03/supdis/2800000464_Purchase_Pro3.-20211003223939.pdf,,,,20000,1,46,L1,2530,RMSDTW012100000367,2800000464,10,2021-10-19,19:47:21,210512, SHREE  CANVASSERS  (  WH  BROKER  ) ,219962, SHRI  SHARANABASAVESHWAR  TRADE- ,9.976,TON,KARNATAKA-DHARWAR-LOK1,WHR-E,RKADWDWSE02,22400.00,1120,AR02, TN78    BD77 ,123,,0,N3,19,,0,,11,9,12,38,12,32,82,45,2,0,01,1,1,1,1,0,1,NO,1,1,NO,NO,NO,LP,NO
1603,3830,13.22,9.92,1.58,38.04,12.57,27.05,80.14,40.35,2.8,.10,.06,2.33,1.78,2.96,2.14,1.88,0.02,no,0,0,yes,no,no,LP,no,,AD,2,1500,,upload/2021/July/28/SDI/2800000398_....-20210728071024.jpg,,,agri,,,0,3830,RMSDTSIL2100000936,2800000398,222076, PARESH  TRADING-  WHEAT  BROKER ,222069, J  J  SHREE  ENTERPRISE-AAGFJ6470 ,28164,TON,GUJARAT-JUNAGADH-TUKUDI,WHR-T,RGURKJUST02,21750.00,1111,FH01,TN28Q5509,8883629518,7,, 2021-07-27  22:30:47 ,SAK,nir_foss,N1,SDI,Container,A,2021-07-29,16:59:39,20,5000347309,2545,3830,N5,560,10420,28220,56.000,28164,2021-07-01,28180,21.75,64,2021-07-01,28180,upload/2021/July/27/supdis/2800000398_IMG20210727WA0001-20210727222915.jpg,upload/2021/July/27/supdis/2800000398_IMG20210727WA0000-20210727222915.jpg,,,,38640,1,PE78841,silo,2272,RMSDTSIL2100000936,2800000398,20,2021-07-29,16:59:39,222076, PARESH  TRADING-  WHEAT  BROKER ,222069, J  J  SHREE  ENTERPRISE-AAGFJ6470 ,28.164,TON,GUJARAT-JUNAGADH-TUKUDI,WHR-T,RGURKJUST02,21750.00,1111,FH01,TN28Q5509,64,1500,0,,0,,0,VSBU50079276,,,,,,,,,,,,,,,,,,,,,,,,,
1999,4499,6,6,6,6,,,6,6,6,6,6,6,6,6,6,6,6,YES,6,6,NO,NO,NO,HP,,567567567,A,1,,496,UPLOAD/2021/SEPTEMBER/24/SDO/2800000279_SAMPLE_PDF-20210924143928.PDF,,,567567,,,6,4499,RMSDOR142100000031,2800000279,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,10809,TON, GUJARAT-RAJKOT-TUKUDI  1 ,WHR-T,RGURKRKST07,18700.00,8118,AC01,TN7879,8145693270,7,, 2021-09-24  14:33:48 ,OW1,NIR_YES,L1,SDO,Truck,A,2021-09-24,14:50:29,00010,,2799,4499,N2,3,56756,10811,1.74,10809.26,2021-09-24,456,45,456,2021-09-24,45645,UPLOAD/2021/SEPTEMBER/24/UL/4499_SAMPLE_PDF-20210924144025.PDF,UPLOAD/2021/SEPTEMBER/24/UL/4499_SAMPLE_PDF-20210924144025.PDF,UPLOAD/2021/SEPTEMBER/24/SDO/2800000279_TESTING_SAMPLE_WB_COPY-20210924145029.PDF,567567,567567,67567,2,,FDFGDFGDFG,2512,RMSDOR142100000031,2800000279,00010,2021-09-24,14:50:29,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,10.809,TON, GUJARAT-RAJKOT-TUKUDI  1 ,WHR-T,RGURKRKST07,18700.00,8118,AC01,TN7879,456,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,4500,5,7,7,7,,,7,7,7,7,7,7,77,7,7,7,7,NO,7,7,NO,NO,NO,LP,,TYRYRTY,A,1,,AHW,UPLOAD/2021/SEPTEMBER/24/SDI/2800000463_TESTING_SAMPLE_WB_COPY-20210924165204.PDF,,,77,,,7,4500,RMSDTW012100000342,2800000463,223127, VINAY  TRADERS-ADOPA8455E ,223127, VINAY  TRADERS-ADOPA8455E ,55993,TON,MADHYAPRADESH-JABALPUR-322,WHR-E,RMPJAJASE03,21750.00,8102,AR02,TN@12=12,8569321470,7,, 2021-09-24  16:50:14 ,SDG,NIR_YES,N2,SDI,Truck,A,2021-09-24,16:56:35,10,,2800,4500,N1,10,567,56000,6.65,55993.35,2021-08-05,25000,29.8,258741,2021-08-05,25000,UPLOAD/2021/SEPTEMBER/20/SUPDIS/2800000463_SAMPLE_PDF-20210920121740.PDF,UPLOAD/2021/SEPTEMBER/20/SUPDIS/2800000463_SAMPLE_PDF-20210920121740.PDF,UPLOAD/2021/SEPTEMBER/24/SDI/2800000463_SAMPLE_PDF-20210924165635.PDF,FGHFGH,FGHFGH,56567,2,,100,2513,RMSDTW012100000342,2800000463,10,2021-09-24,16:56:35,223127, VINAY  TRADERS-ADOPA8455E ,223127, VINAY  TRADERS-ADOPA8455E ,55.993,TON,MADHYAPRADESH-JABALPUR-322,WHR-E,RMPJAJASE03,21750.00,8102,AR02,TN@12=12,258741,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,4520,5,5,5,5,,,5,39,2.5,5,0,2,2,5,2,2,0.1,NO,0,0,YES,NO,NO,LP,,34DFGDFGDFG,A,2,,,UPLOAD/2021/SEPTEMBER/29/SDO/2800000278_SAMPLE_PDF-20210929092034.PDF,,,555,,,0,4520,RMSDOR142100000041,2800000278,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,108,TON,GUJARAT-RAJKOT-MQ2,WHR-M,RGURKRKSM02,17250.00,8118,AC01,TR67908,8569741230,7,, 2021-09-29  09:17:33 ,OW1,NIR_YES,N1,SDO,Truck,A,2021-09-29,09:26:37,00010,,2801,4520,N1,5,234,111,3.325,107.675,2021-09-28,456,45,456456,2021-09-29,45645,UPLOAD/2021/SEPTEMBER/29/UL/4520_SAMPLE_PDF-20210929092134.PDF,UPLOAD/2021/SEPTEMBER/29/UL/4520_SAMPLE_PDF-20210929092134.PDF,UPLOAD/2021/SEPTEMBER/29/SDO/2800000278_SAMPLE_PDF-20210929092637.PDF,SDFSDF,SDFSDF,345,2,,345,2514,RMSDOR142100000041,2800000278,00010,2021-09-29,09:26:37,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,0.108,TON,GUJARAT-RAJKOT-MQ2,WHR-M,RGURKRKSM02,17250.00,8118,AC01,TR67908,456456,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,4528,10,10,1,31,,,77.9,39,2.5,0,0,2,2,5,2,2,0.1,NO,0,0,NO,NO,NO,LP,, QC  PASSED ,A,2,,,UPLOAD/2021/SEPTEMBER/29/SDO/2800000325_SAMPLE_PDF-20210929172502.PDF,,,50000,,,0,4528,RMSDOR142100000046,2800000325,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,-1550,TON,GUJARAT-RAJKOT-MQ2,WHR-M,RGURKRKSM02,17250.00,8118,AC01,TN19AV1998,7894561320,7,, 2021-09-29  17:11:33 ,OW1,NIR_YES,L1,SDO,Truck,A,2021-09-29,17:46:27,00010,,2803,4528,N1,15000,35000,30000,31550,-1550,2021-09-29,35000,65,789465123,2021-09-29,35000,upload/2021/September/29/UL/4528_SAMPLE_PDF-20210929174425.pdf,upload/2021/September/29/UL/4528_SAMPLE_PDF-20210929174425.pdf,UPLOAD/2021/SEPTEMBER/29/SDO/2800000325_SAMPLE_PDF-20210929174627.PDF,ABCD123,456798132,65000,2,,789456,2515,RMSDOR142100000046,2800000325,00010,2021-09-29,17:46:27,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,-1.550,TON,GUJARAT-RAJKOT-MQ2,WHR-M,RGURKRKSM02,17250.00,8118,AC01,TN19AV1998,789465123,,0,N1,15000,N2,20000,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,4541,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NO,1,1,NO,NO,NO,LP,NO,,A,2,,,/Digigate/Digi/NLFD/upload/2800000475_SAMPLE_PDF-20211003215454.pdf,,,L1,,,1,4541,RMSDTSIL2100001130,2800000475,210422, SUBASH  COMMERCIAL  CO(WH  BROKER ,218799, SUSHIL  TRADING  COMPANY ,5286,TON, PUNJAB-ALL  LOCATION-MQ4 ,WHR-M,RPUFCI1SM04,18950.00,1111,FH01,TN57L1455,7708111326,7,, 2021-10-03  21:52:17 ,SDG,NIR_FOSS,N1,SDI,Truck,A,2021-10-04,00:36:51,10,,2809,4541,N1,56,454,5323,37.24,5285.76,2021-10-03,10000,19.2,1000,2021-10-03,8000,upload/2021/October/03/supdis/2800000475_Purchase_Pro3.-20211003215017.pdf,upload/2021/October/03/supdis/2800000475_Purchase_Pro3-20211003215017.pdf,/DIGIGATE/DIGI/NLFD/UPLOAD/2800000475_PURCHASE_PRO1-20211004003651.PDF,23,23,5777,2,,45,2516,RMSDTSIL2100001130,2800000475,10,2021-10-04,00:36:51,210422, SUBASH  COMMERCIAL  CO(WH  BROKER ,218799, SUSHIL  TRADING  COMPANY ,5.286,TON, PUNJAB-ALL  LOCATION-MQ4 ,WHR-M,RPUFCI1SM04,18950.00,1111,FH01,TN57L1455,1000,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,4550,9,9,9,9,,,9,5,5,5,5,5,5,5,5,5,5,NO,5,5,YES,NO,NO,HP,,456456456,A,1,,LOK1,/Digigate/Digi/NLFD/upload/2800000281_Testing_sample_WB_copy-20211004162245.pdf,,,456456,,,5,4550,RMSDOR142100000055,2800000281,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,41062,TON,GUJARAT-RAJKOT-496,WHR-T,RGURKRKST03,17750.00,8118,AC01,856974,8745693210,7,, 2021-10-04  15:38:29 ,OW1,NIR_YES,L1,SDO,Truck,A,2021-10-04,16:25:23,00010,,2812,4550,N2,33,45645,41081,58.74,41061.86,2021-10-04,345,34,345345,2021-10-04,70000,/Digigate/Digi/NLFD/upload/4550_SAMPLE_PDF-20211004162446.pdf,/Digigate/Digi/NLFD/upload/4550_Testing_sample_WB_copy-20211004162446.pdf,/DIGIGATE/DIGI/NLFD/UPLOAD/2800000281_SAMPLE_PDF-20211004162523.PDF,456456,46456456,45645,2,,345345,2517,RMSDOR142100000055,2800000281,00010,2021-10-04,16:25:23,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,41.062,TON,GUJARAT-RAJKOT-496,WHR-T,RGURKRKST03,17750.00,8118,AC01,856974,345345,,0,N3,44,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,4554,5,5,5,5,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,DFGDFG,A,1,,2967,/Digigate/Digi/NLFD/upload/2800000471_SAMPLE_PDF-20211004182907.pdf,,,545,,,5,4554,RMSDTW012100000349,2800000471,222076, PARESH  TRADING-  WHEAT  BROKER ,222691, VIJAY  CATTLE  FEED-BIMPR0135A ,41075,TON,GUJARAT-JUNAGADH-496,WHR-T,RGURKJUST03,22500.00,1120,AR02,8956231470,5896321470,7,, 2021-10-04  18:27:54 ,SDG,NIR_YES,N1,SDI,Container,A,2021-10-04,18:31:02,20,,2813,4554,N3,7,45645,41081,6.3,41074.7,2021-10-04,45645,75,452,2021-10-04,70000,/Digigate/Digi/NLFD/upload/4554_SAMPLE_PDF-20211004183024.pdf,/Digigate/Digi/NLFD/upload/4554_Testing_sample_WB_copy-20211004183024.pdf,/DIGIGATE/DIGI/NLFD/UPLOAD/2800000471_SAMPLE_PDF-20211004183102.PDF,456456,456456,45645,2,,77456,2518,RMSDTW012100000349,2800000471,20,2021-10-04,18:31:02,222076, PARESH  TRADING-  WHEAT  BROKER ,222691, VIJAY  CATTLE  FEED-BIMPR0135A ,41.075,TON,GUJARAT-JUNAGADH-496,WHR-T,RGURKJUST03,22500.00,1120,AR02,8956231470,452,,0,,0,,0,BNM789987,,,,,,,,,,,,,,,,,,,,,,,,,
